Date,WWTP_inlet Flow_rate,p10_1 Flow_rate,p_2_1 Flow_rate,CSO_Pump_2 Flow_rate,p_20_2 Flow_rate,p_21_2 Flow_rate,link_CSO_Pump_21_Flow_rate
02/01/2020 03:15,0,0,0,0,0.00094,0,0
02/01/2020 03:30,0,0,0.002739504,0,0,0,0
02/01/2020 03:45,0.001425891,0,0,0,0,0,0
02/01/2020 04:00,0,0,0,0,0,0,0
02/01/2020 04:15,0,0,0.002337449,0,0.00094,0,0
02/01/2020 04:30,0,0,0,0,0,0,0
02/01/2020 04:45,0,0,0,0,0,0,0
02/01/2020 05:00,0,0,0.002302831,0,0,0,0
02/01/2020 05:15,0,0,0,0,0.00094,0,0
02/01/2020 05:30,0,0,0.002301612,0,0,0,0
02/01/2020 05:45,0,0,0,0,0,0,0
02/01/2020 06:00,0,0,0,0,0,0,0
02/01/2020 06:15,0,0,0.018676458,0,0.006074206,0,0
02/01/2020 06:30,0,0,0,0,0,0,0
02/01/2020 06:45,0,0,0.040884383,0,0.0047,0.025,0
02/01/2020 07:00,0.007115504,0,0,0,0,0,0
02/01/2020 07:15,0,0,0.01390215,0,0.006783372,0,0
02/01/2020 07:30,0,0,0,0,0,0,0
02/01/2020 07:45,0,0,0.020005642,0,0.012055737,0,0
02/01/2020 08:00,0,0,0,0,0,0,0
02/01/2020 08:15,0,0,0.028173285,0,0.015,0,0
02/01/2020 08:30,0.007089959,0,0,0,0,0,0
02/01/2020 08:45,0,0,0.0283715,0,0.015,0,0
02/01/2020 09:00,0,0,0,0,0,0,0
02/01/2020 09:15,0,0,0.039142277,0,0.015,0,0
02/01/2020 09:30,0.021032721,0,0,0,0.015,0.025,0
02/01/2020 09:45,0,0,0.028817238,0,0,0,0
02/01/2020 10:00,0.01704054,0,0,0,0.015,0,0
02/01/2020 10:15,0,0,0.037245952,0,0.015,0,0
02/01/2020 10:30,0.017040152,0,0,0,0.015,0,0
02/01/2020 10:45,0,0,0.020560617,0,0,0,0
02/01/2020 11:00,0,0,0,0,0.015,0.025,0
02/01/2020 11:15,0.333332986,0,0.040487282,0,0.015,0,0
02/01/2020 11:30,0,0,0,0,0.015,0,0
02/01/2020 11:45,0,0,0.027620187,0,0,0,0
02/01/2020 12:00,0.017076047,0,0,0,0.015,0,0
02/01/2020 12:15,0,0,0.040935844,0,0.015,0,0
02/01/2020 12:30,0.017038651,0,0,0,0.015,0.025,0
02/01/2020 12:45,0,0,0.027096324,0,0,0,0
02/01/2020 13:00,0.018625975,0,0,0,0.015,0,0
02/01/2020 13:15,0,0,0.030854966,0,0.015,0,0
02/01/2020 13:30,0,0,0,0,0,0,0
02/01/2020 13:45,0,0,0.03125383,0,0.015,0,0
02/01/2020 14:00,0.333332986,0,0,0,0,0,0
02/01/2020 14:15,0,0,0.028440233,0,0.015,0,0
02/01/2020 14:30,0,0,0,0,0,0.025,0
02/01/2020 14:45,0,0,0.036200538,0,0.015,0,0
02/01/2020 15:00,0.333332986,0,0,0,0,0,0
02/01/2020 15:15,0,0,0.032412767,0,0.015,0,0
02/01/2020 15:30,0,0,0,0,0,0,0
02/01/2020 15:45,0,0,0.031651512,0,0.015,0,0
02/01/2020 16:00,0.333332986,0,0,0,0,0,0
02/01/2020 16:15,0,0,0.038222853,0,0.015,0,0
02/01/2020 16:30,0,0,0,0,0.015,0.025,0
02/01/2020 16:45,0.333332986,0,0.038638242,0,0.015,0,0
02/01/2020 17:00,0,0,0,0,0,0,0
