Date,j_1 Hydraulic_head,j_10 Hydraulic_head,j_2_Hydraulic_head,j_20 Hydraulic_head,j_21 Hydraulic_head
01/01/2020 16:45,9.31482029,8.649506569,7.805095673,9.245833397,10.15426731
01/01/2020 17:00,9.075111389,8.651515007,8.822446823,9.257026672,10.12838078
01/01/2020 17:15,9.305707932,8.65345192,7.802854538,9.202874184,10.17788601
01/01/2020 17:30,9.075111389,8.655323982,8.821473122,9.139819145,10.21172905
01/01/2020 17:45,9.281411171,8.657135963,7.800555706,9.244267464,10.23833466
01/01/2020 18:00,9.32254982,8.658894539,8.820524216,9.259143829,10.2611618
01/01/2020 18:15,9.080431938,8.659046173,7.799020767,8.890000343,10.12197781
01/01/2020 18:30,9.096123695,8.659190178,7.943548203,9.070995331,10.04386997
01/01/2020 18:45,9.121489525,8.659333229,8.092472076,9.126544952,10.06733131
01/01/2020 19:00,9.151079178,8.65947628,7.790772915,9.143677711,10.08134747
01/01/2020 19:15,9.158553123,8.659619331,8.167963982,8.890000343,10.09196091
01/01/2020 19:30,9.181050301,8.659762383,7.790774822,9.067707062,10.10098457
01/01/2020 19:45,9.186479568,8.65990448,7.939751625,9.126111031,10.10893917
01/01/2020 20:00,9.190056801,8.660046577,8.089467049,9.143268585,10.11610985
01/01/2020 20:15,9.302116394,8.410046577,7.791503906,8.890000343,10.12265968
01/01/2020 20:30,9.306321144,8.417042732,7.937874317,9.065115929,10.12861156
01/01/2020 20:45,9.308433533,8.424171448,8.087968826,9.125916481,10.13409519
01/01/2020 21:00,9.316101074,8.429985046,7.790742397,9.143081665,10.13923073
01/01/2020 21:15,9.319038391,8.435065269,8.161276817,8.890000343,10.14406967
01/01/2020 21:30,9.329021454,8.439642906,7.790740013,9.061760902,10.1486454
01/01/2020 21:45,9.070426941,8.443814278,7.933450222,9.125459671,10.15297127
01/01/2020 22:00,9.093871117,8.447638512,8.084486008,9.142652512,10.15702057
01/01/2020 22:15,9.155495644,8.451187134,7.79044199,8.890000343,10.16083908
01/01/2020 22:30,9.164292336,8.454486847,7.932440281,9.05907917,10.16450119
01/01/2020 22:45,9.168955803,8.457577705,8.083697319,9.125285149,10.16804409
01/01/2020 23:00,9.184108734,8.460494041,7.792020798,9.142485619,10.17147732
01/01/2020 23:15,9.189791679,8.463256836,8.154561043,8.890000343,10.17481709
01/01/2020 23:30,9.207717896,8.465883255,7.792016506,9.055648804,10.17807198
01/01/2020 23:45,9.213088989,8.468394279,7.92736721,9.124849319,10.18124771
02/01/2020 00:00,9.216411591,8.470801353,8.07975769,9.142075539,10.18435287
02/01/2020 00:15,9.235584259,8.473115921,7.791107178,8.890000343,10.18739223
02/01/2020 00:30,9.241541862,8.475345612,7.926180363,9.052871704,10.19036865
02/01/2020 00:45,9.244660378,8.477499962,8.078825951,9.124652863,10.19327545
02/01/2020 01:00,9.256464958,8.479586601,7.790770531,9.141888618,10.19611263
02/01/2020 01:15,9.261389732,8.481609344,8.147813797,8.890000343,10.19888306
02/01/2020 01:30,9.276632309,8.483573914,7.790772438,9.049361229,10.2015934
02/01/2020 01:45,9.281424522,8.485484123,7.921020985,9.124215126,10.20424652
02/01/2020 02:00,9.284316063,8.487344742,8.074866295,9.141478539,10.20684624
02/01/2020 02:15,9.300962448,8.489159584,7.790457726,8.890000343,10.20939541
02/01/2020 02:30,9.305761337,8.490930557,7.919813633,9.046476364,10.21189594
02/01/2020 02:45,9.30791378,8.492660522,8.073929787,9.124018669,10.21434784
02/01/2020 03:00,9.315318108,8.494351387,7.790744305,9.141290665,10.21675301
02/01/2020 03:15,9.318545341,8.496006966,8.141034126,8.890000343,10.2191143
02/01/2020 03:30,9.328249931,8.497628212,7.790742397,9.042877197,10.22143173
02/01/2020 03:45,9.070420265,8.499217987,7.91439724,9.123558044,10.22369957
02/01/2020 04:00,9.090716362,8.500777245,8.069808006,9.140859604,10.22592068
02/01/2020 04:15,9.153833389,8.502306938,7.791103363,8.890000343,10.22809696
02/01/2020 04:30,9.163788795,8.503808975,7.913329601,9.039871216,10.23023033
02/01/2020 04:45,9.168462753,8.505285263,8.069007874,9.123381615,10.23233223
02/01/2020 05:00,9.183176994,8.506736755,7.792024136,9.140692711,10.23440838
02/01/2020 05:15,9.189411163,8.508164406,8.134220123,8.890000343,10.23645878
02/01/2020 05:30,9.206848145,8.509569168,7.792021275,9.03617382,10.23848438
02/01/2020 05:45,9.212732315,8.510951996,7.907973289,9.122941971,10.2404871
02/01/2020 06:00,9.216058731,8.512313843,8.065006256,9.140280724,10.24246883
02/01/2020 06:15,9.273182869,8.518795967,7.800470352,8.890000343,10.25205708
02/01/2020 06:30,9.303338051,8.524886131,8.173953056,9.136118889,10.26126766
02/01/2020 06:45,9.355596542,8.530651093,7.800738811,8.890000343,10.20030117
02/01/2020 07:00,9.07213974,8.536139488,8.164995193,9.135335922,10.07661247
02/01/2020 07:15,9.192452431,8.541386604,7.799857616,8.890000343,10.12019825
