,CSO_Pump_2,CSO_Pump_21,p10_1,p_2_1,p_20_2,p_21_2
2020-02-20 17:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 17:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 18:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 18:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 18:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 18:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 19:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 19:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 19:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 19:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 20:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-20 20:15:00,1.0,1.0,0.14409260806916427,1.0,0.0,0.0
2020-02-20 20:30:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-20 20:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 21:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 21:15:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-20 21:30:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-20 21:45:00,1.0,1.0,0.14440396253602306,1.0,1.0,0.0
2020-02-20 22:00:00,1.0,1.0,0.14409459654178675,1.0,1.0,0.0
2020-02-20 22:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 22:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 22:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 23:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 23:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 23:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-20 23:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 00:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 00:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 00:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 00:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 01:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 01:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 01:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 01:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 02:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 02:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 02:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 02:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 03:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 03:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 03:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 03:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 04:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
