;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
1441;B;50469037;2019-08-15;DW;MAT_AC;;-;1989;-1.0;100;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_RONDBR;-;ORZ_INTERN;-;-;ORZ_INT_MONTEUR;BUIS;
1039;B;-1;2019-06-25;DW;MAT_ST;;-;1971;-1.0;100;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
138;B;-1;2019-01-23;DW;MAT_PVCV;TYP_NTRV_STEEK;-;2006;-1.0;110;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;VERB_AFD;-;ORZ_INTERN;-;-;ORZ_INT_AANLEG;VERB;
1637;B;50471134;2019-09-11;DW;MAT_ST;;-;1969;-1.0;100;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
983;B;-1;2019-06-19;DW;MAT_AC;;-;1964;-1.0;100;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1962;B;50474909;2019-10-28;DW;MAT_AC;;-;1972;-1.0;100;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
672;B;-1;2019-04-30;DW;MAT_ST;TYP_LMOF;-;1960;-1.0;100;BOM_ONB;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;VERB_AFD;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;VERB;
2060;B;50476434;2019-11-12;DW;MAT_ST;;-;1973;-1.0;100;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;BUIS;
568;B;-1;2019-04-14;DW;MAT_ST;;-;1970;-1.0;100;BOM_ONB;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;BUIS;
1939;B;50476193;2019-10-25;DW;MAT_AC;;-;1962;-1.0;100;BOM_ONB;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;-;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;REPAR;
210;B;-1;2019-02-04;DW;MAT_ST;;-;1929;-1.0;80;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_GRD1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1166;B;-1;2019-07-08;DW;MAT_AC;;-;1986;-1.0;100;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1023;B;-1;2019-06-24;DW;MAT_GG;;-;1961;-1.0;100;BOM_ONB;RELIN_NEE;-1;KB_NEE;-1;-1;-;DEK_GRD1,5;DREMP_ONB;-;BUIS_SCHERF;BI_GG_GEEN;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;BUIS;
2307;B;50479282;2019-12-20;DW;MAT_AC;;-;1978;-1.0;100;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_SCHERF;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1640;B;50471263;2019-09-12;DW;MAT_PVC;;-;1978;4.0;110;BOM_NEE;RELIN_NEE;-1;-;-1;-1;LENGTE_ONB;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;-;-;BUIS;
255;B;-1;2019-02-10;DW;MAT_AC;;-;1963;-1.0;100;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;BUIS;
42;B;-1;2019-01-10;DW;MAT_PVC;;-;2015;3.0;40;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_EXTERN;-;-;-;BUIS;
2003;B;50475497;2019-11-03;DW;MAT_GG;;-;1940;-1.0;100;BOM_ONB;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_SCHERF;BI_GG_GEEN;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1292;B;50468996;2019-07-26;DW;MAT_ST;;-;1950;-1.0;80;BOM_NEE;RELIN_NEE;-1;KB_NEE;-1;-1;-;DEK_GRD1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1609;B;50471575;2019-09-09;DW;MAT_ST;TYP_LMOF;-;1965;-1.0;100;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;VERB_AND;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;VERB;
1056;B;-1;2019-06-27;DW;MAT_AC;;-;1964;18.0;100;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
311;B;-1;2019-02-19;DW;MAT_PVC;;-;1973;6.0;160;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;-;-;BUIS;
1;B;-1;2019-01-01;DW;MAT_AC;;-;1985;-1.0;100;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1227;B;-1;2019-07-17;DW;MAT_ST;TYP_FLENS;-;1953;-1.0;100;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_GRD1,5;DREMP_ONB;-;VERB_AND;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;VERB;
273;B;-1;2019-02-12;DW;MAT_PVCV;;-;2018;3.0;110;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_PUNTLEK;-;ORZ_EXTERN;-;-;-;BUIS;
1591;B;50470693;2019-09-06;DW;MAT_AC;;-;1988;-1.0;100;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_PUNTLEK;-;ORZ_EXTERN;-;-;-;BUIS;
1003;B;-1;2019-06-22;DW;MAT_AC;;-;1968;14.0;100;BOM_JA;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_AND;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
692;B;-1;2019-05-02;DW;MAT_AC;;-;1970;-1.0;100;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1763;B;50472762;2019-09-30;DW;MAT_PVC;TYP_AND;-;1976;-1.0;200;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;VERB_AND;-;ORZ_INTERN;-;-;ORZ_INT_AANLEG;VERB;
