,index,Unnamed: 0,relatie_code,storing_idnummer,storing_melddatum,storing_medium,storing_materiaal,storing_type,storing_type_hulpstuk,storing_aanlegjaar,storing_wanddikte,storing_diameter,storing_bomen,storing_relining,storing_relining_jaar,storing_kathodische_bescherming,storing_pmax,storing_pdifference,storing_lengte_scheur,storing_grond_dekking,storing_verkeersdrempels,storing_drempelafstand,storing_verschijningsvorm,storing_bescherminginwendig,storing_soortoorzaak,storing_oorzaak1spontanestoring,storing_oorzaak2spontanestoring,storing_oorzaakinternebedrijfsvoering,storing_storendobject,Unnamed: 29,age_at_failure,construction_year_vs_graph_year
1278,92,1323,A,-,2014-07-24 00:00:00,-,MAT_AC,-,-,1958-01-01,12,100.0,BOM_JA,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,56.558521560574945,61.998631074606436
1279,93,294,A,-,2014-02-18 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1947-01-01,,100.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,ORZ_SPON2_AANT,,VERB,,67.13210130047912,72.99931553730322
1280,94,1317,A,-,2014-07-23 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1973-01-01,,150.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_AFD,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,VERB,,41.555099247091036,46.997946611909654
1281,95,2367,A,-,2014-12-19 00:00:00,-,MAT_AC,-,-,1955-01-01,12,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,59.964407939767284,64.99931553730322
1282,96,532,A,-,2014-04-02 00:00:00,-,MAT_PVC,TYP_TRV_STEEK,-,1977-01-01,,63.0,BOM_JA,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,37.24845995893224,42.997946611909654
1283,97,728,B,-,2014-05-08 00:00:00,-,MAT_ST,-,-,1966-01-01,,100.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,48.34770704996578,53.998631074606436
1284,98,1970,B,-,2014-10-21 00:00:00,-,MAT_AC,-,-,1976-01-01,,100.0,BOM_NEE,-,-1,BU_AC_TEBIT,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,,,,BUIS,,38.80355920602327,44.0
1285,99,174,A,-,2014-02-03 00:00:00,-,MAT_PVC,TYP_PVCLIJM,-,1991-01-01,,63.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,VERB,,23.091033538672143,28.999315537303218
1286,100,216,C,-,2014-02-07 00:00:00,-,MAT_PVC,TYP_AND,-,1965-01-01,5,151.0,BOM_ONB,-,-1,-,-1,-1,-,-,-,-,-,-,ORZ_SPONTAAN,,,,BUIS,,49.100616016427104,54.997946611909654
1287,101,572,B,-,2014-04-07 00:00:00,-,MAT_ST,-,-,1929-01-01,,80.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,85.2621492128679,90.99794661190965
