;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
1190;A;-;2016-07-18;-;MAT_GG;TYP_LMOF;-;1960;;150;BOM_NEE;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;VERB_SCHEUR;BI_GG_GEEN;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
534;B;-;2016-04-04;-;MAT_AC;-;-;1970;;100;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
10;A;-;2016-01-03;-;MAT_AC;TYP_NTRV_STEEK;-;1953;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1193;B;-;2016-07-18;-;MAT_ST;-;-;1930;;125;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
587;B;-;2016-04-13;-;MAT_AC;-;-;1988;;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_EXTERN;;;;BUIS;
1154;B;-;2016-07-12;-;MAT_AC;TYP_NTRV_STEEK;-;1956;;250;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;;;;VERB;
245;A;-;2016-02-08;-;MAT_PVC;-;-;1964;2.7;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_EXTERN;;;;BUIS;
543;B;-;2016-04-06;-;MAT_AC;TYP_AND;-;1960;;100;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;;;;VERB;
1317;A;-;2016-08-02;-;MAT_AC;-;-;1974;12.0;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1176;A;-;2016-07-15;-;MAT_AC;-;-;1966;12.0;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
582;A;-;2016-04-13;-;MAT_AC;-;-;1977;18.0;200;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
2262;B;-;2016-12-06;-;MAT_AC;-;-;1984;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
1926;B;-;2016-10-20;-;MAT_PVC;-;-;1982;4.0;110;BOM_JA;-;-1;-;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_EXTERN;;;;BUIS;
524;B;-;2016-04-02;-;MAT_GG;-;-;1956;6.0;100;BOM_NEE;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_ONB;ORZ_SPONTAAN;;;;BUIS;
86;A;-;2016-01-14;-;MAT_PE100;-;-;2012;6.6;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_EXTERN;;;;BUIS;
1350;A;-;2016-08-08;-;MAT_PVC;TYP_NTRV_STEEK;-;1962;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_INTERN;;;ORZ_INT_AANLEG;VERB;
465;A;-;2016-03-21;-;MAT_AC;-;-;1968;12.0;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1219;A;-;2016-07-21;-;MAT_AC;TYP_AND;-;1958;;250;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
234;A;-;2016-02-05;-;MAT_AC;-;-;1958;17.0;150;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1889;A;-;2016-10-15;-;MAT_PE80;-;-;1993;6.6;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_EXTERN;;;;BUIS;
540;B;-;2016-04-06;-;MAT_AC;-;-;1990;;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1070;A;-;2016-06-30;-;MAT_PVC;TYP_TRV_STEEK;-;2015;;63;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
656;B;-;2016-04-29;-;MAT_AC;-;-;1958;;150;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;ORZ_SPON2_AANT;;BUIS;
1047;B;-;2016-06-27;-;MAT_ST;-;-;1961;;150;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
24;B;-;2016-01-05;-;MAT_AC;-;-;1972;12.0;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
646;B;-;2016-04-26;-;MAT_GG;-;-;1950;;100;BOM_NEE;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_ONB;ORZ_SPONTAAN;;;;BUIS;
2067;B;-;2016-11-07;-;MAT_ST;-;-;1967;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
2277;B;-;2016-12-07;-;MAT_AC;-;-;1966;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
