;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
1396;B;-;2017-09-20;-;MAT_AC;-;-;1962;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
869;B;-;2017-06-23;-;MAT_AC;-;-;1972;;100;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_INTERN;;;ORZ_INT_AANLEG;BUIS;
1127;B;-;2017-08-06;-;MAT_ST;-;-;1965;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;REPAR;
448;B;-;2017-04-01;-;MAT_ST;-;-;1961;;150;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;REPAR;
1540;B;-;2017-10-13;-;MAT_AC;-;-;1964;15.0;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
291;B;-;2017-02-22;-;MAT_AC;-;-;1971;;100;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
139;B;-;2017-01-23;-;MAT_ST;-;-;1955;;50;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
900;B;-;2017-06-27;-;MAT_ST;-;-;1950;;100;BOM_NEE;-;-1;BU_ST_ONB;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
118;B;-;2017-01-19;-;MAT_GG;-;-;1953;;100;BOM_JA;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
957;B;-;2017-07-09;-;MAT_ST;-;-;1938;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
23;B;-;2017-01-06;-;MAT_PVC;TYP_TRV_STEEK;-;2012;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;;;;VERB;
1036;B;-;2017-07-20;-;MAT_ST;-;-;1967;;100;BOM_ONB;-;-1;BU_ST_ONB;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
826;B;-;2017-06-19;-;MAT_AC;-;-;1977;;150;BOM_ONB;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
1414;B;-;2017-09-24;-;MAT_ST;-;-;1969;;80;BOM_ONB;-;-1;BU_ST_ONB;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
1326;B;-;2017-09-07;-;MAT_AC;-;-;1970;;150;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_SPONTAAN;;;;BUIS;
358;B;-;2017-03-10;-;MAT_AC;-;-;1966;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_INTERN;;;ORZ_INT_AANLEG;REPAR;
762;B;-;2017-06-09;-;MAT_ST;-;-;1959;;80;BOM_NEE;-;-1;BU_ST_ONB;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
235;B;-;2017-02-09;-;MAT_AC;-;-;1966;;125;BOM_ONB;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
