;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
1473;B;-;2014-08-13;-;MAT_AC;-;-;1968;;150;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
2246;C;-;2014-12-02;-;MAT_AC;TYP_AND;-;1957;15;150;BOM_ONB;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
1574;A;-;2014-08-27;-;MAT_PVC;-;-;1979;3.3;110;BOM_JA;-;-1;-;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1637;A;-;2014-09-08;-;MAT_GG;-;-;1979;13.5;275;BOM_NEE;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_CL;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1649;B;-;2014-09-09;-;MAT_ST;-;-;1931;;150;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2050;A;-;2014-11-04;-;MAT_AC;TYP_NTRV_STEEK;-;1965;;300;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
2403;C;-;2014-12-29;-;MAT_ST;TYP_AND;-;1993;;150;BOM_ONB;-;-1;BU_ST_ONB;-1;-1;-;-;-;-;-;BI_ST_CL;ORZ_SPONTAAN;;;;BUIS;
1372;B;-;2014-07-30;-;MAT_AC;-;-;1965;;150;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
460;B;-;2014-03-20;-;MAT_AC;-;-;1976;;150;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
374;C;-;2014-03-05;-;MAT_PVC;TYP_AND;-;1968;6;188;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
681;A;-;2014-04-30;-;MAT_PVC;-;-;1975;Onbekend;32;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_EXTERN;;;;BUIS;
291;C;-;2014-02-17;-;MAT_GG;TYP_LMOF;-;1940;9;77;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
567;A;-;2014-04-07;-;MAT_PVC;-;-;1987;2;63;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
