;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
418;C;-;2010-03-05;-;MAT_GG;TYP_LMOF;-;1975;9;80;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
978;B;-;2010-06-03;-;MAT_ST;-;-;1954;;80;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;-;
359;A;-;2010-02-24;-;MAT_PVC;-;-;1990;4.7;160;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_SPONTAAN;;;;BUIS;
2049;B;-;2010-09-29;-;MAT_ST;-;-;-1;;150;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
444;A;-;2010-03-10;-;MAT_AC;TYP_NTRV_STEEK;-;1960;;50;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
767;A;-;2010-04-29;-;MAT_PVC;TYP_TRV_STEEK;-;2010;;160;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_EXTERN;;;;VERB;
1980;A;-;2010-09-21;-;MAT_GG;-;-;1961;10;150;BOM_NEE;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_GEEN;ORZ_EXTERN;;;;BUIS;
2441;B;-;2010-11-19;-;MAT_AC;-;-;1963;;160;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_SPONTAAN;;;;BUIS;
672;B;-;2010-04-16;-;MAT_AC;-;-;1969;;50;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
2385;B;-;2010-11-15;-;MAT_AC;-;-;1955;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
1518;B;-;2010-07-19;-;MAT_AC;-;-;1968;;100;BOM_JA;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
2183;A;-;2010-10-15;-;MAT_AC;-;-;1990;15;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2464;A;-;2010-11-22;-;MAT_AC;-;-;1982;15;150;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
2150;B;-;2010-10-13;-;MAT_AC;-;-;1964;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2493;B;-;2010-11-25;-;MAT_ST;-;-;1967;;100;BOM_JA;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
690;A;-;2010-04-20;-;MAT_PVC;TYP_TRV_STEEK;-;1977;;110;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1183;B;-;2010-06-26;-;MAT_AC;-;-;1959;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
2478;A;-;2010-11-24;-;MAT_PVC;-;-;1977;3.3;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_EXTERN;;;;BUIS;
1607;B;-;2010-07-30;-;MAT_AC;-;-;1962;;100;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
974;A;-;2010-06-03;-;MAT_AC;TYP_NTRV_STEEK;-;1959;;150;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;VERB;
2266;B;-;2010-10-27;-;MAT_ST;-;-;1950;3;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
1594;A;-;2010-07-28;-;MAT_AC;TYP_NTRV_STEEK;-;1965;;150;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;;;;VERB;
2221;B;-;2010-10-21;-;MAT_AC;-;-;1965;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1504;B;-;2010-07-18;-;MAT_AC;-;-;1983;;100;BOM_JA;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
2768;A;-;2010-12-24;-;MAT_PVC;TYP_PVCLIJM;-;1968;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_INTERN;;;ORZ_INT_AANLEG;VERB;
