;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
1504;B;-;2012-07-12;-;MAT_ST;-;-;1954;;50;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
521;B;-;2012-02-29;-;MAT_ST;-;-;1926;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2656;B;-;2012-12-12;-;MAT_NG;-;-;1976;;100;BOM_NEE;-;-1;BU_NG_GEEN;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_NG_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
722;A;-;2012-04-03;-;MAT_PE;TYP_AND;-;1996;;63;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;VERB;
2747;C;-;2012-12-29;-;MAT_PVC;TYP_TRV_STEEK;-;1983;9;297;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
289;B;-;2012-02-08;-;MAT_GG;-;-;1956;;125;BOM_NEE;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_ONB;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1754;B;-;2012-08-16;-;MAT_PVCV;-;-;2012;;200;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
712;B;-;2012-04-02;-;MAT_PVCV;-;-;2011;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_EXTERN;;;;BUIS;
2515;A;-;2012-11-20;-;MAT_AC;-;-;1972;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1446;A;-;2012-07-06;-;MAT_AC;TYP_NTRV_STEEK;-;1955;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
100;B;-;2012-01-18;-;MAT_GG;-;-;1956;;80;BOM_NEE;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
2657;A;-;2012-12-12;-;MAT_PVC;TYP_NTRV_STEEK;-;2012;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_EXTERN;;;;VERB;
2744;A;-;2012-12-28;-;MAT_AC;TYP_NTRV_STEEK;-;1960;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
811;A;-;2012-04-18;-;MAT_PE;-;-;1998;9.1;160;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_EXTERN;;;;BUIS;
151;C;-;2012-01-26;-;MAT_PVC;TYP_TRV_STEEK;-;1968;6;188;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
1957;B;-;2012-09-06;-;MAT_ST;-;-;1964;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
1168;B;-;2012-06-04;-;MAT_ST;-;-;1949;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_GEEN;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2671;B;-;2012-12-13;-;-;TYP_NTRV_STEEK;-;2006;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_INTERN;;;ORZ_INT_AANLEG;VERB;
821;B;-;2012-04-19;-;MAT_ST;-;-;1972;;150;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
1181;A;-;2012-06-05;-;MAT_AC;-;-;1988;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1262;B;-;2012-06-14;-;MAT_ST;-;-;1932;3;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_GEEN;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
458;A;-;2012-02-22;-;MAT_AC;-;-;1955;15;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1567;C;-;2012-07-18;-;MAT_GG;TYP_LMOF;-;1956;10;150;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
615;B;-;2012-03-16;-;MAT_AC;-;-;1961;;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
1207;A;-;2012-06-09;-;MAT_AC;TYP_NTRV_STEEK;-;1955;;100;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1557;A;-;2012-07-17;-;MAT_AC;TYP_NTRV_STEEK;-;1956;;150;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1904;B;-;2012-08-31;-;MAT_ST;-;-;1950;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
114;C;-;2012-01-21;-;MAT_PVC;TYP_TRV_STEEK;-;1963;9;297;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
1913;B;-;2012-09-02;-;MAT_ST;-;-;1965;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
65;B;-;2012-01-13;-;MAT_ST;-;-;1965;3;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
194;B;-;2012-02-02;-;MAT_ST;-;-;1971;;200;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2387;B;-;2012-11-01;-;-;TYP_NTRV_STEEK;-;1960;;125;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;;;;VERB;
1414;B;-;2012-07-03;-;MAT_ST;-;-;1967;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2511;B;-;2012-11-20;-;MAT_AC;-;-;1972;;150;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_SPONTAAN;;;;BUIS;
2269;B;-;2012-10-17;-;MAT_AC;-;-;1957;;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
555;B;-;2012-03-06;-;MAT_GG;TYP_AND;-;1955;;150;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AND;-;ORZ_EXTERN;;;;VERB;
1768;B;-;2012-08-18;-;MAT_ST;-;-;1962;;125;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_AND;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
