;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
1285;B;50435047;2018-07-16;DW;MAT_AC;;-;1969;-1.0;100.0;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1203;B;50434598;2018-07-07;DW;MAT_AC;;-;1969;-1.0;100.0;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
2129;B;-1;2018-10-22;DW;MAT_ST;TYP_FLENS;-;1967;-1.0;100.0;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;VERB_LAS;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;VERB;
1368;B;50435691;2018-07-25;DW;MAT_PVC;;-;2005;4.0;50.0;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_AND;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1437;B;50435684;2018-08-01;DW;MAT_AC;;-;1971;-1.0;150.0;BOM_ONB;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1350;B;50435280;2018-07-22;DW;MAT_AC;;-;1970;-1.0;250.0;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
1601;B;50436113;2018-08-16;DW;MAT_ST;;-;1961;-1.0;100.0;BOM_ONB;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;BUIS;
856;B;50430581;2018-05-26;DW;MAT_ST;;-;1954;-1.0;80.0;BOM_NEE;RELIN_NEE;-1;KB_ONB;-1;-1;-;DEK_GRD1,5;DREMP_ONB;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;-;-;BUIS;
1232;B;50434724;2018-07-10;DW;MAT_AC;;-;1967;-1.0;100.0;BOM_NEE;RELIN_NEE;-1;-;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
2279;B;-1;2018-11-11;DW;MAT_GG;;-;1964;-1.0;150.0;BOM_NEE;RELIN_NEE;-1;KB_NEE;-1;-1;-;DEK_0,8T1,5;DREMP_ONB;-;BUIS_RONDBR;BI_GG_ONB;ORZ_SPONTAAN;ORZ_SPON1_ONB;-;-;BUIS;
