;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
2745;A;-;2013-12-11;-;MAT_AC;-;-;1969;15;150;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
299;B;-;2013-02-12;-;MAT_ST;-;-;1956;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
2277;B;-;2013-10-28;-;MAT_AC;-;-;1976;;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1609;C;-;2013-08-11;-;MAT_GG;TYP_AND;-;2013;8;154;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
484;C;-;2013-03-06;-;MAT_PVC;TYP_AND;-;1965;5;151;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
1937;B;-;2013-09-17;-;MAT_ST;TYP_AND;-;1963;;125;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AND;-;ORZ_SPONTAAN;;;;VERB;
2230;C;-;2013-10-21;-;MAT_PVC;TYP_AND;-;1995;4;103;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
2526;A;-;2013-11-12;-;MAT_AC;-;-;1969;14;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1290;A;-;2013-06-25;-;MAT_AC;TYP_NTRV_STEEK;-;1985;;500;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
2742;C;-;2013-12-11;-;MAT_PVC;TYP_TRV_STEEK;-;1980;4;118;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
2505;B;-;2013-11-09;-;MAT_PVCV;TYP_TRV_STEEK;-;2013;;250;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_INTERN;;;ORZ_INT_AANLEG;VERB;
1733;A;-;2013-08-26;-;MAT_PVC;TYP_NTRV_STEEK;-;1999;;63;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
967;B;-;2013-05-14;-;MAT_PVCV;TYP_TRV_STEEK;-;2009;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;;;;VERB;
1564;B;-;2013-08-07;-;MAT_AC;-;-;1961;15;150;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
2780;B;-;2013-12-16;-;MAT_AC;-;-;1966;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_EXTERN;;;;BUIS;
695;B;-;2013-04-04;-;MAT_AC;TYP_AND;-;1966;;150;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AND;-;ORZ_SPONTAAN;;;;VERB;
980;A;-;2013-05-16;-;MAT_AC;TYP_NTRV_STEEK;-;1956;;150;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1754;C;-;2013-08-27;-;MAT_GG;TYP_AND;-;1974;9;204;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
2011;A;-;2013-09-25;-;MAT_AC;TYP_NTRV_STEEK;-;1961;;150;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;VERB;
2235;C;-;2013-10-22;-;MAT_GG;TYP_AND;-;1974;10;254;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
895;A;-;2013-05-03;-;MAT_PE80;TYP_TRV_STEEK;-;2013;;40;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_INTERN;;;ORZ_INT_AANLEG;VERB;
2693;B;-;2013-12-06;-;MAT_AC;-;-;1968;;150;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
2689;A;-;2013-12-06;-;MAT_AC;-;-;1984;12;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
362;B;-;2013-02-20;-;MAT_AND;TYP_AND;-;1965;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_EXTERN;;;;VERB;
2686;B;-;2013-12-05;-;MAT_ST;-;-;1956;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;ORZ_SPON2_AANT;;BUIS;
176;A;-;2013-01-25;-;MAT_AC;TYP_NTRV_STEEK;-;1985;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;ORZ_SPON2_AANT;;VERB;
1060;C;-;2013-05-28;-;MAT_PVC;TYP_TRV_STEEK;-;1963;4;118;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_EXTERN;;;;BUIS;
2054;A;-;2013-09-30;-;MAT_AC;-;-;1938;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1464;A;-;2013-07-23;-;MAT_AC;-;-;1951;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_EXTERN;;;;BUIS;
1772;B;-;2013-08-30;-;MAT_AC;-;-;1961;16;125;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
1446;C;-;2013-07-18;-;MAT_GG;TYP_LMOF;-;1959;10;125;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
2030;C;-;2013-09-26;-;MAT_PVC;TYP_TRV_STEEK;-;1969;8;235;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
2377;B;-;2013-10-29;-;MAT_PVCV;TYP_TRV_STEEK;-;2010;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_EXTERN;;;;VERB;
208;A;-;2013-01-30;-;MAT_AC;TYP_NTRV_STEEK;-;1964;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
2055;A;-;2013-09-30;-;MAT_AC;-;-;1966;Onbekend;125;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
1723;A;-;2013-08-24;-;MAT_AC;TYP_NTRV_STEEK;-;1960;;100;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1522;A;-;2013-08-01;-;MAT_PE;-;-;1975;Onbekend;50;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_EXTERN;;;;BUIS;
722;C;-;2013-04-09;-;MAT_GG;TYP_LMOF;-;1961;16;463;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
1784;A;-;2013-08-30;-;MAT_AC;-;-;1991;Onbekend;175;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
40;A;-;2013-01-08;-;MAT_AC;-;-;1962;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
482;C;-;2013-03-06;-;MAT_PVC;TYP_TRV_STEEK;-;1984;2;71;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
1100;A;-;2013-06-05;-;MAT_AC;TYP_NTRV_STEEK;-;1975;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
439;B;-;2013-03-01;-;MAT_AC;-;-;1971;;200;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_AND;-;ORZ_SPONTAAN;;;;BUIS;
1274;C;-;2013-06-24;-;MAT_AC;TYP_AND;-;1957;11;80;BOM_ONB;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
2499;A;-;2013-11-08;-;MAT_AC;TYP_NTRV_STEEK;-;1980;;150;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;VERB;
2280;C;-;2013-10-28;-;MAT_PVC;TYP_TRV_STEEK;-;1963;3;85;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_EXTERN;;;;BUIS;
1041;B;-;2013-05-27;-;MAT_AC;-;-;1960;;125;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_SPONTAAN;;;;BUIS;
994;B;-;2013-05-18;-;MAT_ST;-;-;1956;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
14;B;-;2013-01-03;-;MAT_AC;-;-;1976;10;150;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_SPONTAAN;;;;BUIS;
621;C;-;2013-03-26;-;MAT_PVC;TYP_TRV_STEEK;-;1968;6;188;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_EXTERN;;;;BUIS;
1062;A;-;2013-05-29;-;MAT_AC;-;-;1969;12;100;BOM_JA;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
2237;B;-;2013-10-22;-;MAT_PVC;-;-;1961;;110;BOM_JA;-;-1;-;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_EXTERN;;;;BUIS;
