;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
332;A;-;2011-02-28;-;MAT_AC;-;-;1971;12;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_EXTERN;;;;BUIS;
1868;A;-;2011-10-05;-;MAT_AC;-;-;1976;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
254;A;-;2011-02-14;-;MAT_AC;-;-;1968;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1555;A;-;2011-08-22;-;MAT_AC;-;-;1960;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1949;B;-;2011-10-18;-;MAT_AC;-;-;1969;;100;BOM_JA;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
448;C;-;2011-03-17;-;MAT_ST;TYP_AND;-;1973;;251;-;-;-1;BU_ST_ONB;-1;-1;-;-;-;-;-;BI_ST_CL;-;;;;BUIS;
2224;B;-;2011-11-27;-;MAT_AC;-;-;1970;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
1536;B;-;2011-08-18;-;-;TYP_LMOF;-;1965;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AND;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;VERB;
2353;A;-;2011-12-13;-;MAT_AC;TYP_NTRV_STEEK;-;1979;;200;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
13;A;-;2011-01-03;-;MAT_PE;TYP_NTRV_STEEK;-;1969;;110;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1651;A;-;2011-09-06;-;MAT_AC;-;-;1976;12;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1898;A;-;2011-10-10;-;MAT_GG;-;-;1958;9.5;125;BOM_NEE;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_GG_GEEN;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
684;B;-;2011-04-22;-;MAT_ST;-;-;1926;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
1852;A;-;2011-10-03;-;MAT_AC;-;-;1986;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_EXTERN;;;;BUIS;
2343;C;-;2011-12-12;-;MAT_NG;TYP_AND;-;2001;18;807;-;-;-1;BU_NG_ONB;-1;-1;-;-;-;-;-;BI_NG_CL;-;;;;BUIS;
872;B;-;2011-05-19;-;MAT_ST;-;-;1924;;50;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
1203;A;-;2011-06-29;-;MAT_AC;-;-;1964;12;50;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
59;C;-;2011-01-16;-;MAT_GG;TYP_LMOF;-;1929;15;118;-;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;-;BI_GG_CL;-;;;;BUIS;
952;B;-;2011-05-27;-;MAT_ST;-;-;1964;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
1375;A;-;2011-07-22;-;MAT_AC;TYP_NTRV_STEEK;-;1961;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1422;B;-;2011-07-29;-;MAT_ST;-;-;1953;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
2436;A;-;2011-12-23;-;MAT_GG;-;-;1932;10;150;BOM_JA;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_CL;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1291;A;-;2011-07-11;-;MAT_AC;-;-;1982;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1518;A;-;2011-08-16;-;MAT_PVC;TYP_NTRV_STEEK;-;1984;;63;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_INTERN;;;ORZ_INT_AANLEG;VERB;
1393;C;-;2011-07-25;-;MAT_AND;TYP_AND;-;2010;2;51;-;-;-1;-;-1;-1;-;-;-;-;-;-;-;;;;BUIS;
2164;B;-;2011-11-21;-;-;TYP_AND;-;1980;;110;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_AND;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1866;A;-;2011-10-05;-;MAT_PVC;-;-;1980;2;63;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_EXTERN;;;;BUIS;
60;A;-;2011-01-16;-;MAT_PE;TYP_AND;-;1987;;315;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
